address	balance	code_hash	data_hash	jetton	last_transaction_lt	owner	owner_friendly	wallet_friendly
0:4A4998A9563B96043E50B75BEBE101EBFB802C451566D78E49E9F6C21C38DD62	11152746792130673	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	BLXcxQIQ2cnHctFCUUSYA9qw/QJDSQUR+n+ahjN25ss=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51527814000001	0:3650F489B6B95BAEB1B33BC0956EB5EB414F59C385CF4DA99855F745654CE410	UQA2UPSJtrlbrrGzO8CVbrXrQU9Zw4XPTamYVfdFZUzkEK9L	EQBKSZipVjuWBD5Qt1vr4QHr-4AsRRVm145J6fbCHDjdYlpu
0:3C88D18F0FF0E6C868B9222A8B68325DB7A1EBFBCA856943B39BD6FDBA928450	10968180374380585	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	lgj4Bt0uqedwR+V98pHB7ers93ePffpmuje2tJQtkqY=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51640215000003	0:ED970B5FE8659156205507579713938328868C1392F5688A89275F04CC05CCA6	UQDtlwtf6GWRViBVB1eXE5ODKIaME5L1aIqJJ18EzAXMpo3K	EQA8iNGPD_DmyGi5IiqLaDJdt6Hr-8qFaUOzm9b9upKEUD96
0:8C02EED9720D5C66F56E3AF81F332D6B150F02B08C92C231A952223C4E0CC63F	10943661464374948	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	4KjZwyxVVhsHRAVC2VM32TWp3MmSWwGIZYMV2ogvT1M=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51284029000001	0:8FD4E108703123BC7CAD482F90318BC651E3176A38051C02AC186C675B8564AD	UQCP1OEIcDEjvHytSC-QMYvGUeMXajgFHAKsGGxnW4VkrasR	EQCMAu7Zcg1cZvVuOvgfMy1rFQ8CsIySwjGpUiI8TgzGPzac
0:B4906599D3F8C28633B02B672671DCD7B6B67F9F4C0F171185DD8CC2EEED18AF	10876249776929226	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	OY94l6RkEIwCL/9ctaHBzu86elZPNFhjnM6SGUld3Po=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51523258000001	0:F96B3710BDDC3CF1B6717B27F700DC9FF0BCE4AD09C3D5716FF82CB99162060E	UQD5azcQvdw88bZxeyf3ANyf8LzkrQnD1XFv-Cy5kWIGDpr_	EQC0kGWZ0_jChjOwK2cmcdzXtrZ_n0wPFxGF3YzC7u0Yr5zO
0:D213682AA6E42FAF23152D4B11C7E0679EF6EF5F79D8C0D50D032CC8087073D9	10653830569552852	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	yAMkYuqA44fYRSmvDuLO3I81rB34xGIQoKsSpRaA+kU=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51375444000001	0:C30BCE574F60BA8A44695F1D2058747781E1A7B09EA8D38E680639C04D7E9227	UQDDC85XT2C6ikRpXx0gWHR3geGnsJ6o045oBjnATX6SJ-R3	EQDSE2gqpuQvryMVLUsRx-BnnvbvX3nYwNUNAyzICHBz2SJf
0:888D5C93578BF932372D2AD48710E04DC35BFB1B1E5CB2C08AC6C216BD6053B6	10164928669724016	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	H4PKLgP2IK2RQG35NOCdCzPBhXxToqiWYXvVMUv49M4=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51793806000001	0:50F26E52B9D96D083CE3EB4E295643E5D3E87D36747935EE8583BCCCD91FDD9F	UQBQ8m5SudltCDzj604pVkPl0-h9NnR5Ne6Fg7zM2R_dn_QS	EQCIjVyTV4v5MjctKtSHEOBNw1v7Gx5cssCKxsIWvWBTtrcM
0:2929FF6A4A63D31BFD160DC622F45A1F77B9F672ED3FF67DEBD02370529173D0	10123100693016835	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	NbsCX9nQ3D15CEhNrAEC2YgKVFfUfX3LVG82dIgu+aQ=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51449943000003	0:0C48F3D3A913E971B34435504BA3294940C0A508FDBEA97CBF4BF2BBD3F6BDF3	UQAMSPPTqRPpcbNENVBLoylJQMClCP2-qXy_S_K70_a98xtT	EQApKf9qSmPTG_0WDcYi9Fofd7n2cu0_9n3r0CNwUpFz0Bsf
0:89CB9169B14ED3A4D80708405D36C76A451CDFA788786E7AB676794881B11899	10000000000000000	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	N60l3lOH1qgQQy+lD7+ei3rY5x1eEGRMw7i6wNJRggA=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51744255000001	0:F3887DBF684DF36CC7BCA3A22E290A1D30BE048D506AF2289B9E53502387F48E	UQDziH2_aE3zbMe8o6IuKQodML4EjVBq8iibnlNQI4f0jqPf	EQCJy5FpsU7TpNgHCEBdNsdqRRzfp4h4bnq2dnlIgbEYmV1-
0:0D40114F9AA690D54D2944821F2661553BE7C8DC1BFF51EBB48DB6A0253A9C26	9520990353469455	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	lQytwCvvSzUyZlprG9WoFCvuwaMc115xisOwvRMzHrw=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51111595000003	0:603204632D0366E52BB35BB7B67A13F35AD70A0054088F10E5464707542F66DA	UQBgMgRjLQNm5SuzW7e2ehPzWtcKAFQIjxDlRkcHVC9m2mup	EQANQBFPmqaQ1U0pRIIfJmFVO-fI3Bv_Ueu0jbagJTqcJmiI
0:85DD82EE7254B95B875F58B33E3FA187852111A6DE5641EAC6EB01B9DF5CD238	9515703139222626	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	pP3qg27QFrRNnrszNxKXYz5D9sguhE1LJKdFeOPwUC4=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51346401000001	0:47845F4E6F9E2AD9F391F802DF1424704528C349DA07EF93D0E5F1FDFF56A6E5	UQBHhF9Ob54q2fOR-ALfFCRwRSjDSdoH75PQ5fH9_1am5dMA	EQCF3YLuclS5W4dfWLM-P6GHhSERpt5WQerG6wG531zSOBrW
