address	balance	code_hash	data_hash	jetton	last_transaction_lt	owner	owner_friendly	wallet_friendly
0:B4906599D3F8C28633B02B672671DCD7B6B67F9F4C0F171185DD8CC2EEED18AF	10876249776929226	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	OY94l6RkEIwCL/9ctaHBzu86elZPNFhjnM6SGUld3Po=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51523258000001	0:F96B3710BDDC3CF1B6717B27F700DC9FF0BCE4AD09C3D5716FF82CB99162060E	UQD5azcQvdw88bZxeyf3ANyf8LzkrQnD1XFv-Cy5kWIGDpr_	EQC0kGWZ0_jChjOwK2cmcdzXtrZ_n0wPFxGF3YzC7u0Yr5zO
0:CD132B7DC0CD00C668846BB877D04DDEFADE6B750E4E8323A19BFD64B13A8A95	10822048309901460	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	gsldzq9u5HNbJkFqGL7DqtNDE9JVad3guNTYtzKPiWg=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	52125545000001	0:69BB1DD36EF4AE9B7E7093607A7F7CA35E0D43E87D76FF5230B3EE09731A7280	UQBpux3TbvSum35wk2B6f3yjXg1D6H12_1Iws-4JcxpygM_g	EQDNEyt9wM0AxmiEa7h30E3e-t5rdQ5OgyOhm_1ksTqKlfVl
0:D213682AA6E42FAF23152D4B11C7E0679EF6EF5F79D8C0D50D032CC8087073D9	10653830569552852	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	yAMkYuqA44fYRSmvDuLO3I81rB34xGIQoKsSpRaA+kU=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51375444000001	0:C30BCE574F60BA8A44695F1D2058747781E1A7B09EA8D38E680639C04D7E9227	UQDDC85XT2C6ikRpXx0gWHR3geGnsJ6o045oBjnATX6SJ-R3	EQDSE2gqpuQvryMVLUsRx-BnnvbvX3nYwNUNAyzICHBz2SJf
0:2929FF6A4A63D31BFD160DC622F45A1F77B9F672ED3FF67DEBD02370529173D0	10123100693016835	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	NbsCX9nQ3D15CEhNrAEC2YgKVFfUfX3LVG82dIgu+aQ=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51449943000003	0:0C48F3D3A913E971B34435504BA3294940C0A508FDBEA97CBF4BF2BBD3F6BDF3	UQAMSPPTqRPpcbNENVBLoylJQMClCP2-qXy_S_K70_a98xtT	EQApKf9qSmPTG_0WDcYi9Fofd7n2cu0_9n3r0CNwUpFz0Bsf
0:70FF846A67B86D553BC1BD84F45F591E406E506D8ACF5E216683D294111335D5	10007718249254428	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	QdVTUO5+xtXUrZHQzeIDRPdw4YFFQDkCxpy+c6xvD7g=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	52066548000001	0:B02025E2A1AAC4B12007AB90DEFB1996DFF381F6B25E5CEA61AEF1AEE999787D	UQCwICXioarEsSAHq5De-xmW3_OB9rJeXOphrvGu6Zl4fX--	EQBw_4RqZ7htVTvBvYT0X1keQG5QbYrPXiFmg9KUERM11XuA
0:08CB13CCFF5825A80772CA7666FB1CA37E8E93D3714452AD8D5708413E35F3D3	9935950871385162	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	WuDVNrz21J63rU8qoJsXG/P09wJZcBGy7w7We38/MX4=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	52007861000003	0:661CF4D31F69DDB265A92AAC308BFAD327FE4CEC367F71BAE111685E6D874795	UQBmHPTTH2ndsmWpKqwwi_rTJ_5M7DZ_cbrhEWhebYdHlZ0h	EQAIyxPM_1glqAdyynZm-xyjfo6T03FEUq2NVwhBPjXz00bG
0:0D40114F9AA690D54D2944821F2661553BE7C8DC1BFF51EBB48DB6A0253A9C26	9520990353469455	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	lQytwCvvSzUyZlprG9WoFCvuwaMc115xisOwvRMzHrw=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51111595000003	0:603204632D0366E52BB35BB7B67A13F35AD70A0054088F10E5464707542F66DA	UQBgMgRjLQNm5SuzW7e2ehPzWtcKAFQIjxDlRkcHVC9m2mup	EQANQBFPmqaQ1U0pRIIfJmFVO-fI3Bv_Ueu0jbagJTqcJmiI
0:49B56F91D386BD7759C1D5E363DBA183F15742AAD6D0420B0BF23A89F6F5FFE6	9311051303158291	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	5iLka0tgHOTrycNK3WUuu24BpGKCO/MK17A04YZ301U=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51107620000001	0:51B18CD56C3E6699890D26A928B98819CDC3A37EE975F2EB57A3B2D7DB9D9026	UQBRsYzVbD5mmYkNJqkouYgZzcOjful18utXo7LX252QJgNR	EQBJtW-R04a9d1nB1eNj26GD8VdCqtbQQgsL8jqJ9vX_5iRr
0:46D150CC969EBF5EB2B5BE1F77B4FA9EF8A900270B1BBD15E43AF46C6765653A	8746306419977352	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	3LQF+bZ6rKi0vARRaeJpK6aztVYpCwG9Y/tellKWlB0=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51507870000001	0:C8254D253E2B50A4802DE0D495A224A15A7478DC3DB4085F0FCF62CA9F18020C	UQDIJU0lPitQpIAt4NSVoiShWnR43D20CF8Pz2LKnxgCDGrH	EQBG0VDMlp6_XrK1vh93tPqe-KkAJwsbvRXkOvRsZ2VlOs1u
0:DB35910E36B35D3853E97D7A1BF8D48F3A53154BB9011B3F36C296AE3E3E91CF	8291052204879101	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	pwqfZAcdp0J0aNgPP5Agz2pYKnW7tkQlgMD9ogfHJFQ=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51787272000001	0:7FC989C8BD208ED97D336B20C5308610F4F552C4AD038E9B381E7130E0DE235B	UQB_yYnIvSCO2X0zayDFMIYQ9PVSxK0Djps4HnEw4N4jW0w8	EQDbNZEONrNdOFPpfXob-NSPOlMVS7kBGz82wpauPj6Rz_h7
